Stature,Head breadth,Head depth,Head circumference,Face length
1675.0,145.0,185.0,555.0,104.0
1839.0,155.0,196.0,560.0,116.0
1872.0,150.0,201.0,577.0,117.0
1854.0,157.0,205.0,592.0,119.0
1796.0,162.0,210.0,612.0,122.0
1839.0,164.0,208.0,606.0,121.0
1788.0,142.0,182.0,545.0,117.0
1677.0,145.0,193.0,563.0,126.0
1940.0,155.0,213.0,601.0,144.0
1869.0,157.0,205.0,588.0,133.0
1806.0,160.0,202.0,589.0,122.0
1608.0,151.0,169.0,522.0,99.0
1759.0,158.0,195.0,577.0,123.0
1693.0,155.0,206.0,587.0,116.0
1600.0,160.0,187.0,555.0,114.0
1831.0,162.0,205.0,601.0,130.0
1651.0,145.0,185.0,546.0,116.0
1665.0,150.0,186.0,578.0,111.0
1745.0,146.0,199.0,562.0,118.0
1631.0,145.0,172.0,530.0,112.0
1695.0,146.0,191.0,552.0,109.0
1734.0,162.0,185.0,562.0,117.0
1830.0,162.0,205.0,600.0,126.0
1381.0,147.0,191.0,555.0,103.0
1621.0,160.0,195.0,573.0,112.0
1683.0,158.0,201.0,588.0,117.0
1850.0,149.0,208.0,589.0,122.0
1651.0,145.0,182.0,553.0,122.0
1835.0,156.0,204.0,566.0,120.0
1719.0,154.0,194.0,577.0,111.0
1664.0,144.0,200.0,574.0,128.0
1687.0,151.0,194.0,567.0,123.0
1720.0,156.0,205.0,593.0,113.0
1664.0,156.0,199.0,577.0,109.0
1805.0,150.0,204.0,569.0,112.0
1604.0,140.0,180.0,530.0,106.0
1676.0,142.0,182.0,559.0,102.0
1629.0,143.0,184.0,542.0,101.0
1759.0,146.0,195.0,565.0,115.0
1542.0,150.0,195.0,595.0,111.0
1792.0,147.0,192.0,571.0,114.0
1615.0,142.0,186.0,549.0,115.0
1769.0,154.0,194.0,567.0,109.0
1726.0,160.0,194.0,574.0,114.0
1785.0,157.0,204.0,594.0,123.0
1834.0,159.0,215.0,610.0,123.0
1850.0,154.0,205.0,590.0,126.0
1713.0,145.0,191.0,557.0,115.0
1754.0,154.0,206.0,593.0,122.0
1640.0,149.0,190.0,560.0,114.0
1850.0,157.0,209.0,599.0,131.0
1670.0,157.0,199.0,580.0,126.0
1622.0,145.0,176.0,522.0,116.0
1849.0,154.0,208.0,592.0,127.0
1569.0,145.0,185.0,540.0,101.0
1653.0,149.0,182.0,546.0,104.0
1565.0,141.0,191.0,553.0,101.0
1696.0,153.0,186.0,570.0,121.0
1879.0,170.0,206.0,607.0,120.0
1585.0,144.0,182.0,535.0,102.0
1842.0,154.0,202.0,582.0,125.0
1556.0,145.0,190.0,554.0,114.0
1607.0,142.0,185.0,538.0,103.0
1796.0,149.0,211.0,584.0,125.0
1480.0,142.0,171.0,520.0,105.0
1609.0,158.0,175.0,542.0,103.0
1640.0,144.0,200.0,553.0,112.0
1512.0,152.0,181.0,547.0,106.0
1967.0,161.0,194.0,574.0,120.0
1768.0,149.0,208.0,582.0,121.0
1758.0,149.0,184.0,543.0,120.0
1759.0,156.0,215.0,605.0,127.0
1620.0,140.0,181.0,530.0,104.0
1689.0,156.0,178.0,553.0,109.0
1786.0,154.0,202.0,573.0,119.0
1712.0,144.0,190.0,546.0,112.0
1699.0,151.0,195.0,555.0,124.0
1705.0,149.0,190.0,562.0,106.0
1650.0,140.0,195.0,543.0,124.0
1720.0,145.0,180.0,537.0,110.0
1917.0,160.0,212.0,602.0,134.0
1818.0,160.0,208.0,590.0,123.0
